,(% of,RBC total PC),3D7 P. (% of,f.-iRBC total PC)
,Mean,s.e.m. (n=3),Mean,s.e.m. (n=7)
PC 14:0-16:1,3.67,0.56,0.92,0.16
PC 16:0/16:0,4.28,0.11,13.01,1.29
PC 14:0-18:1,1.11,0.24,1.96,0.48
PC 14:0-18:2,0.16,0.01,0.28,0.05
PC 16:0-18:0,5.78,2.31,11.70,3.22
PC 16:0-18:1,22.57,1.21,32.42,1.94
PC 16:0-18:2,22.91,0.49,14.99,0.89
PC 18:0-18:1,5.46,0.55,6.12,0.33
PC 18:0-18:2 + PC 18:1/18:1,10.75,1.02,5.89,0.33
PC 16:0-20:3 + PC 18:1-18:2,6.46,0.37,3.21,0.19
PC 16:1-20:3 + PC 16:0-20:4 + PC 18:2/18:2,7.41,0.73,4.28,0.30
PC 38:3,1.17,0.16,0.69,0.06
PC 18:0-20:4 + PC 18:1-20:3,3.69,0.08,1.73,0.15
PC 38:5,1.91,0.27,1.15,0.10
PC 16:0-22:6,2.15,0.24,1.30,0.10
PC 40:4,0.15,0.01,0.07,0.01
PC 40:5,0.34,0.07,0.17,0.02
