,Mass,RT,FORMULA,Isomers,Putative metabolite,confidence,Map,Pathway,max intensity,Fold change rings,Fold change schizonts,Fold change trophs,urbcs,ttest: rings,ttest: schizonts,ttest: trophs,ttest: urbcs,Mean: rings,Mean: schizonts,Mean: trophs,Mean: urbcs,SD: rings,SD: schizonts,SD: trophs,SD: urbcs,RSD: rings,RSD: schizonts,RSD: trophs,RSD: urbcs,Fisher: rings,Fisher: schizonts,Fisher: trophs,Fisher: urbcs,PeakID
396,210.125679475081,4.32593955993652,C12H18O3,6,(-)-Jasmonic acid,8.0,Lipids: Fatty Acyls,alpha-Linolenic acid metabolism,299101,0.467947032889411,0.542841194443518,0.30165168447466,1,0.342246042382853,0.401990519277568,0.24532232596393,1.0,75750.3041992188,87874.0171875,48830.7548828125,161877.9453125,47743.4749103547,50861.5622156337,12409.7343097134,120602.792506198,0.630274365430827,0.578800922542423,0.254137670807981,0.745023000343736,0.44090359221245,0.319670972026688,0.869422190417562,0.0,p2534
406,602.526864078283,3.41349416097005,C39H70O4,1,1-(14-methyl-pentadecanoyl)-2-(8-[3]-ladderane-octanyl)-sn-glycerol,5.0,Lipids: Glycerolipids,Diradylglycerols,940025,4.09998822752342,24.0354374496272,7.88435410489371,1,0.00468811468703261,0.000489521203608556,0.0163421910361751,1.0,126768.99609375,743160.25,243779.15234375,30919.3561197917,27815.2987781943,154532.160472185,87686.1435049456,6062.27161355773,0.219417204800012,0.207939216975323,0.359695005343609,0.196067201078525,11.3359792226527,21.2103678841298,5.86481683269487,0.0,p1762
369,215.115859121466,12.1318138122559,C10H17NO4,3,"2-Amino-9,10-epoxy-8-oxodecanoic acid",5.0,Lipids: Fatty Acyls,Fatty Acids and Conjugates,483141,0.823936412965176,0.763379752517231,0.888730544956459,1,0.102584503637915,0.0573411213752025,0.347337331832478,1.0,363260.5703125,336562.09375,391827.28125,440884.229166667,34793.5843204955,70549.7413162587,73161.7433824432,51976.7484990127,0.0957813403490609,0.209618797322622,0.186719370711105,0.11789205660011,1.54017420907316,1.41728386773666,0.29879780026049,0.0,p801
385,86.0367502431379,14.6675999717107,C4H6O2,8,2-Butenoate,5.0,Lipids: Fatty Acyls,Fatty Acids and Conjugates,161957,0.818428779591774,0.374026571984976,0.610221116349596,1,0.538077921348425,0.0989451742901976,0.240595928653688,1.0,100403.091796875,45884.7796875,74860.62109375,122677.860677083,23196.0610539504,43612.1023816013,27469.6682546693,50899.9921090681,0.231029350180553,0.950469909164285,0.366944167084431,0.41490772522557,0.158576704173573,1.31257676849465,0.683474011334443,0.0,n1769
333,216.040112505601,14.5440358479818,C5H13O7P,1,2-C-Methyl-D-erythritol 4-phosphate,8.0,Lipid Metabolism,Biosynthesis of steroids,18753354,0.499576287255476,0.454952336936562,0.313475549362024,1,0.102705019129862,0.184824537874244,0.0545226349624127,1.0,5592135.5625,5092625.90625,3508969.125,11193757.0,1509872.45371809,7779166.43583855,1424900.58254646,3634681.21595774,0.26999925821596,1.52753541670741,0.406073844421887,0.324706103228588,2.02562311464068,0.504891489852291,3.87474568935683,0.0,n649
502,356.053456084248,7.37479588826497,C18H12O8,2,"2-Hydroxy-1,3-dimethoxy-8,9-methylenedioxycoumestan",5.0,Lipids: Polyketides,Flavonoids,1199122,1.22040971088212,1.86701173455288,1.66272675910667,1,0.610969973614395,0.10037320127651,0.17126871070422,1.0,580106.1640625,887460.175,790355.921875,475337.223958333,208571.825332949,261244.641323954,147901.373453814,272551.725402346,0.359540784521776,0.294373368724916,0.187132618811712,0.573386033462082,0.0931899402166673,1.19161935643225,1.03200441403705,0.0,n475
378,190.172156362116,3.88859395113858,C14H22,3,"3,5,7-Trimethyl-2E,4E,6E,8E-undecatetraene",5.0,Lipids: Fatty Acyls,Hydrocarbons,33333390,0.500148059943051,0.624889309029055,0.703784065031553,1,0.358415043121042,0.466049382474469,0.58183623598799,1.0,9701928.0,12121672.7,13652082.0,19398111.8333333,7347166.08974826,5182700.06242499,9946455.8294791,13981509.3062664,0.757289282063138,0.427556508964723,0.728566956269314,0.720766506884494,0.376872764984828,0.238130144181933,0.11214410022492,0.0,p142
393,226.120652202596,4.45439022911918,C12H18O4,5,"3,7-Dimethyl-2E,6E-decadien-1,10-dioic acid ",5.0,Lipids: Fatty Acyls,Fatty Acids and Conjugates,163809,0.404740443785238,0.435084401527199,0.330005656597052,1,0.024859337142594,0.0274403910418857,0.0176843543996697,1.0,53763.1708984375,57793.87109375,43835.8725585938,132833.700520833,23951.7406086091,36652.8391950275,23041.8749137865,31138.1357431288,0.445504612327566,0.634199414252271,0.525639700293118,0.234414426617928,4.05123613093784,2.43447541246303,5.27860892589216,0.0,p2092
400,246.146738553388,4.49476390414767,C12H22O5,1,3-Hydroxydodecanedioicacid,5.0,Lipids: Fatty Acyls,0,254646,0.320121707822786,0.245223392628305,0.200615880497251,1,0.0174896865541331,0.00479668126897051,0.0173054066616824,1.0,66318.9189453125,50802.39765625,41561.15625,207167.828125,17407.367658507,45012.0905324939,8740.27744069115,41140.7199340406,0.262479665461093,0.886022955787723,0.210299188697166,0.198586432586518,9.94120109692613,6.57501155277401,15.5038581219728,0.0,n2202
363,102.068060466311,7.38065073225232,C5H10O2,9,3-Methylbutanoic acid,7.0,Lipids: Fatty Acyls,Fatty Acids and Conjugates,827417,1.04954624097893,0.963078585948506,1.05142634205183,1,0.63791415679942,0.704532038164892,0.642872117704854,1.0,649816.671875,596281.0375,650980.71875,619140.583333333,68699.6543966352,52793.7795588144,81412.5789095864,85430.4420621762,0.10572159405884,0.0885384176900215,0.125061428955858,0.137982300566109,0.0783010632058019,0.0518126594753235,0.0727967400859922,0.0,n2136
376,214.156970459758,3.86216042836507,C12H22O3,10,3-Oxododecanoic acid,5.0,Lipids: Fatty Acyls,Fatty Acids and Conjugates,3439688,0.511531670500315,0.69190325863956,0.71630575467561,1,0.400552351187425,0.572750739713,0.620362981487162,1.0,970048.923339844,1312098.64375,1358374.59570313,1896361.41666667,719592.019251372,584133.63156069,962252.976504327,1488788.43931589,0.741810028275525,0.445190332558554,0.708385580493166,0.785076318380708,0.313811094960471,0.133464664294294,0.0921040640722042,0.0,n1367
388,150.140808350335,3.90043410098913,C11H18,3,"4,8-Dimethyl-1,3E,7-nonatriene",5.0,Lipids: Fatty Acyls,Hydrocarbons,324411,0.539599621403142,0.76565964806258,0.588305152787557,1,0.216292542630032,0.463619258340835,0.29317211703763,1.0,125246.361328125,177717.109375,136551.392578125,232109.802083333,93794.2422943994,74287.0897855305,115182.651064571,98715.8789767516,0.748877981761672,0.418007529195052,0.843511361472726,0.42529819116088,0.615881849186863,0.193833988764746,0.396813056609728,0.0,p641
334,329.256816571419,3.76230583190917,C18H35NO4,2,4-8dimethylnonanoylcarnitine,7.0,Lipid Metabolism,OxidationofBranchedFattyAcids,245668,0.458145310156365,0.230664905509523,0.312774672721929,1,0.0561623155833661,0.0135730737769788,0.0208195943772179,1.0,60417.6884765625,30418.821484375,41247.0068359375,131874.510416667,41819.283029092,31027.5156858279,32164.8596284696,34056.0786202305,0.692169529877244,1.02001044655085,0.779810757090988,0.258246104668961,1.75546875051767,4.84953790692163,3.74287472441734,0.0,p2613
377,118.063000465099,7.39038683573403,C5H10O3,13,5-Hydroxypentanoate,7.0,Lipids: Fatty Acyls,Fatty Acids and Conjugates,244773,0.592601461488095,0.662981279276726,0.715303785889777,1,0.1583878845949,0.200146538414357,0.315514568627493,1.0,107961.297851563,120783.23125,130315.448242188,182181.963541667,55216.8932991525,36228.6981574549,63131.1426116031,58293.2162065426,0.511450810595765,0.299948078740069,0.484448647210849,0.31997248834795,0.854459979667292,0.800278143211453,0.364337281883935,0.0,n2678
315,340.255418346529,10.5306466420492,C20H28D4O4,1,"5S,12R-dihydroxy-6Z,8E,10E,14Z-eicosatetraenoic acid-d4",7.0,Fatty Acyls [FA],Leukotrienes [FA0302],537110,1.02577542770392,1.15890019994166,1.17501080510699,1,0.842836835301138,0.280439134885479,0.263743445952387,1.0,416153.46875,470161.71875,476697.734375,405696.46875,40445.6453015169,52755.7883520333,65747.0168663434,75802.2610325927,0.0971892542984287,0.112207749478824,0.137921815283105,0.186844764180839,0.0148132379827125,0.487242637628828,0.500680648951799,0.0,p2262
507,330.16771784161,4.41183340708413,C16H26O7,4,8-Epiiridodial glucoside,5.0,Lipids: Prenols,Isoprenoids,133532,0.380846888650766,0.153008537514857,0.0808870532886121,1,0.00854640067944352,0.000594987081350637,0.00151625961965428,1.0,46061.552734375,18505.6279296875,9782.89013671875,120945.067708333,8029.3974756355,25790.6544415893,11300.5512968144,17069.1043500694,0.174318862456482,1.39366545893938,1.15513423322617,0.141131049603714,15.7592417407928,10.9709411373401,29.4877215354852,0.0,n2223
343,172.10995688221,4.36614371405707,C9H16O3,17,9-Oxononanoic acid,8.0,Lipids: Fatty Acyls,alpha-Linolenic acid metabolism,791359,1.50930630585093,1.07028446747919,1.81511682543857,1,0.108446495752046,0.768926300682928,0.177752195933008,1.0,250228.23046875,177442.7015625,300928.625,165790.223958333,74094.2503623703,71904.0567951981,154258.833664857,34690.1896743576,0.29610667918472,0.405224087336562,0.512609372620691,0.209241466994314,1.06520032955656,0.0213035298740195,0.730518961032557,0.0,n2158
