	RBC1	RBC2	RBC3	Ring 1	Ring 2	Ring 3	Trophozoite 1	Trophozoite 2	Trophozoite 3	Schizont 1	Schizont 2	Schizont 3
CE 16:0	9.475e-05	0.00010587500000000001	8.800000000000001e-05	0.000985	0.0008125000000000001	0.0016899999999999999	0.00032958801498127345	7.715355805243446e-05	0.00048164794007490635	0.00013122676579925652	0.00016840148698884762	0.0002394052044609666
CE 16:1	2.8749999999999997e-05	6.125000000000001e-05	2.6375e-05	0.0	0.0	0.0007975	0.0	0.0	0.00016966292134831462	0.0	0.0	0.0
CE 18:1	0.00012425	0.00018	0.00010887500000000002	0.0008925	0.0004825	0.0016725000000000002	0.0	0.0	0.0006400749063670412	0.0	0.0	0.0
CE 18:2	0.000342875	0.00066925	0.000349625	0.00285	0.0007750000000000001	0.0051600000000000005	0.0	0.0	0.001968539325842697	0.0	0.0	0.0
CE 18:3	4.975e-05	0.00011225000000000002	5.175e-05	0.00026000000000000003	0.0	0.0008025	0.0	0.0	0.0003209737827715356	0.0	0.0	0.0
CE 20:4	4.6875e-05	0.00010400000000000001	3.7875e-05	0.000435	0.0	0.00068	0.0	0.0	0.00027303370786516855	0.0	0.0	0.0
CE 20:5	0.0	0.0	1.5125e-05	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
DAG (32:0) 16:0_16:0	0.0	0.0	0.0	0.0	0.0	0.0	0.001792759051186019	0.0006389513108614232	0.0006913857677902622	0.0010717472118959108	0.0014427509293680298	0.001628252788104089
DAG (34:0) 16:0_18:0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0007104868913857678	0.0004831460674157304	0.0008382899628252789	0.0004096654275092937	0.0
DAG (34:1) 16:0_18:1	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.001357303370786517	0.001504119850187266	0.005154275092936803	0.005589219330855019	0.0030988847583643124
DAG (36:1) 18:0_18:1	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.000756179775280899	0.0014310861423220975	0.0019565055762081787	0.0034442379182156135	0.0007702602230483271
DAG (36:2) 18:1_18:1	0.0001465	0.0	0.0002515	0.005110000000000001	0.00614	0.0058875	0.002648689138576779	0.0012516853932584271	0.001853932584269663	0.0032278810408921934	0.0062278810408921935	0.003107806691449814
FreeChol	0.0032418750000000004	0.00355475	0.00443075	0.06341	0.060175	0.0666075	0.022656679151061163	0.014607490636704119	0.015239700374531834	0.012528252788104089	0.019199628252788106	0.0168728624535316
LPC 16:0	0.0	7.525e-05	5.6750000000000004e-05	0.0006875	0.0	0.0	0.0	0.0	0.00017790262172284646	0.0	0.0	0.0
LPC 18:0	0.0	5.4000000000000005e-05	0.0	0.0	0.0	0.0	0.0	0.0	0.0001453183520599251	0.0	0.0	0.0
PC 32:0	4.8750000000000006e-05	5.275e-05	8.625000000000001e-05	0.003885	0.0033925	0.003025	0.002538826466916356	0.002992883895131086	0.002956179775280899	0.00449814126394052	0.007494795539033458	0.0033821561338289964
PC 32:1	0.0	1.6250000000000002e-05	2.425e-05	0.00046750000000000003	0.0004175	0.000615	0.00045443196004993635	0.000449063670411985	0.0003943820224719101	0.001500743494423792	0.0032873605947955397	0.0007598513011152417
PC 34:0	0.0	0.0	2.0625e-05	0.0010425	0.0006125000000000001	0.0	0.0011355805243445695	0.0013606741573033707	0.0014097378277153558	0.0014371747211895912	0.0024397769516728623	0.0012230483271375465
PC 34:1	0.000389	0.000315875	0.0004940000000000001	0.019475000000000003	0.01886	0.019192499999999998	0.006989263420724082	0.007682022471910114	0.009378277153558053	0.019755018587360597	0.03282490706319703	0.014500371747211898
PC 34:2	0.00028187500000000006	0.00032225000000000005	0.0004441250000000001	0.0072125	0.00664	0.007002500000000001	0.0027825218476903854	0.0025704119850187266	0.0031430711610486895	0.005343866171003718	0.008939405204460966	0.004242379182156134
PC 34:3	0.0	0.0	0.0	0.000625	0.00046750000000000003	0.0	0.00019575530586766554	0.0002895131086142322	0.00033258426966292136	0.0010605947955390335	0.0018420074349442379	0.00058364312267658
PC 36:0	6.825e-05	7.35e-05	7.149999999999999e-05	0.001195	0.0011225	0.0016525	0.0008009987515605506	0.0004539325842696629	0.0004902621722846442	0.00045910780669144985	0.0005661710037174723	0.0005888475836431227
PC 36:1	0.00010875	7.149999999999999e-05	0.0001515	0.004217500000000001	0.00453	0.0034625	0.0029423220973782776	0.0036382022471910113	0.0038913857677902626	0.006770631970260223	0.01074386617100372	0.004680297397769518
PC 36:2	0.00013975	0.00016462500000000003	0.00026524999999999997	0.00477	0.0042725	0.00376	0.002307116104868914	0.0026228464419475656	0.002561423220973783	0.00465092936802974	0.007317472118959108	0.0029397769516728623
PC 36:3	8.700000000000001e-05	9.3875e-05	0.000147125	0.0029375	0.0023825	0.0026775	0.0011016229712858914	0.0009906367041198501	0.0013247191011235954	0.002121561338289963	0.0036070631970260224	0.0016237918215613384
PC 36:4	8.175000000000001e-05	0.00010675	0.00014325	0.0029500000000000004	0.002455	0.0026349999999999998	0.0010706616729088652	0.0009471910112359551	0.0016071161048689137	0.001720817843866171	0.0023282527881040896	0.0021828996282527886
