	RBC1	RBC2	RBC3	Ring 1	Ring 2	Ring 3	Trophozoite 1	Trophozoite 2	Trophozoite 3	Schizont 1	Schizont 2	Schizont 3
CE 16:0	94.75	105.87500000000001	88.00000000000001	985.0	812.5000000000001	1689.9999999999998	329.58801498127343	77.15355805243446	481.64794007490633	131.22676579925653	168.4014869888476	239.4052044609666
CE 16:1	28.749999999999996	61.250000000000014	26.375	0.0	0.0	797.5	0.0	0.0	169.66292134831463	0.0	0.0	0.0
CE 18:1	124.25000000000001	180.0	108.87500000000001	892.5	482.5	1672.5000000000002	0.0	0.0	640.0749063670412	0.0	0.0	0.0
CE 18:2	342.875	669.25	349.625	2850.0	775.0000000000001	5160.000000000001	0.0	0.0	1968.539325842697	0.0	0.0	0.0
CE 18:3	49.75	112.25000000000001	51.75	260.00000000000006	0.0	802.5	0.0	0.0	320.9737827715356	0.0	0.0	0.0
CE 20:4	46.875	104.00000000000001	37.875	435.0	0.0	680.0	0.0	0.0	273.03370786516854	0.0	0.0	0.0
CE 20:5	0.0	0.0	15.125	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
DAG (32:0) 16:0_16:0	0.0	0.0	0.0	0.0	0.0	0.0	1792.7590511860192	638.9513108614232	691.3857677902622	1071.7472118959108	1442.7509293680298	1628.2527881040892
DAG (34:0) 16:0_18:0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	710.4868913857678	483.1460674157304	838.289962825279	409.6654275092937	0.0
DAG (34:1) 16:0_18:1	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1357.303370786517	1504.119850187266	5154.275092936803	5589.219330855019	3098.8847583643123
DAG (36:1) 18:0_18:1	0.0	0.0	0.0	0.0	0.0	0.0	0.0	756.179775280899	1431.0861423220974	1956.5055762081788	3444.2379182156137	770.2602230483271
DAG (36:2) 18:1_18:1	146.5	0.0	251.5	5110.000000000001	6140.0	5887.5	2648.689138576779	1251.6853932584272	1853.932584269663	3227.8810408921936	6227.881040892194	3107.806691449814
FreeChol	3241.8750000000005	3554.75	4430.75	63409.99999999999	60175.0	66607.5	22656.679151061162	14607.490636704119	15239.700374531834	12528.25278810409	19199.628252788105	16872.8624535316
LPC 16:0	0.0	75.25	56.75000000000001	687.5	0.0	0.0	0.0	0.0	177.90262172284645	0.0	0.0	0.0
LPC 18:0	0.0	54.00000000000001	0.0	0.0	0.0	0.0	0.0	0.0	145.3183520599251	0.0	0.0	0.0
PC 32:0	48.75000000000001	52.75	86.25000000000001	3885.0	3392.5	3025.0	2538.826466916356	2992.883895131086	2956.1797752808993	4498.14126394052	7494.795539033458	3382.156133828996
PC 32:1	0.0	16.250000000000004	24.25	467.50000000000006	417.5	615.0	454.4319600499363	449.063670411985	394.3820224719101	1500.743494423792	3287.36059479554	759.8513011152417
PC 34:0	0.0	0.0	20.625	1042.5	612.5000000000001	0.0	1135.5805243445695	1360.6741573033707	1409.7378277153557	1437.174721189591	2439.776951672862	1223.0483271375465
PC 34:1	389.0	315.875	494.00000000000006	19475.000000000004	18860.0	19192.499999999996	6989.263420724083	7682.022471910113	9378.277153558052	19755.018587360595	32824.90706319703	14500.371747211899
PC 34:2	281.87500000000006	322.25000000000006	444.12500000000006	7212.5	6640.0	7002.500000000001	2782.5218476903856	2570.4119850187267	3143.0711610486896	5343.866171003719	8939.405204460967	4242.379182156134
PC 34:3	0.0	0.0	0.0	625.0	467.50000000000006	0.0	195.75530586766556	289.51310861423224	332.5842696629214	1060.5947955390336	1842.007434944238	583.64312267658
PC 36:0	68.25	73.5	71.49999999999999	1195.0	1122.5	1652.5	800.9987515605505	453.9325842696629	490.26217228464424	459.10780669144987	566.1710037174722	588.8475836431228
PC 36:1	108.75	71.49999999999999	151.5	4217.500000000001	4530.0	3462.5	2942.3220973782777	3638.2022471910113	3891.3857677902624	6770.631970260223	10743.86617100372	4680.297397769517
PC 36:2	139.75	164.62500000000003	265.24999999999994	4770.0	4272.5	3760.0	2307.116104868914	2622.846441947566	2561.423220973783	4650.9293680297405	7317.472118959108	2939.776951672862
PC 36:3	87.00000000000001	93.875	147.125	2937.5	2382.5	2677.5	1101.6229712858913	990.6367041198502	1324.7191011235955	2121.561338289963	3607.0631970260224	1623.7918215613383
PC 36:4	81.75000000000001	106.75	143.25	2950.0000000000005	2455.0	2634.9999999999995	1070.6616729088653	947.1910112359551	1607.1161048689137	1720.8178438661712	2328.2527881040896	2182.8996282527887
PC 36:5	0.0	14.75	23.875	472.5	512.4999999999999	0.0	246.69163545568054	252.434456928839	279.0262172284644	545.3531598513011	598.8847583643123	473.6059479553903
PC 38:3	0.0	24.750000000000004	0.0	297.49999999999994	162.50000000000003	460.0	120.84893882646705	309.3632958801498	408.9887640449438	336.8029739776952	556.8773234200744	509.2936802973978
PC 38:4	62.375000000000014	67.625	109.12500000000001	2212.5	1175.0	1470.0	657.1785268414494	784.6441947565544	1022.8464419475656	1105.2044609665427	1297.7695167286245	1248.3271375464683
