	RBC1	RBC2	RBC3	Ring 1	Ring 2	Ring 3	Trophozoite 1	Trophozoite 2	Trophozoite 3	Schizont 1	Schizont 2	Schizont 3
CE 16:0	4563160.0	5098940.0	4238080.0	2371880.0	1956500.0	4069520.0	5297600.0	1240120.0	7741720.0	2125060.0	2727060.0	3876880.0000000005
CE 16:1	1384600.0	2949800.0	1270220.0	0.0	0.0	1920380.0	0.0	0.0	2727060.0	0.0	0.0	0.0
CE 18:1	5983880.0	8668800.0	5243420.000000001	2149140.0	1161860.0	4027380.0000000005	0.0	0.0	10288180.0	0.0	0.0	0.0
CE 18:2	16512860.0	32231080.0	16837940.0	6862800.0	1866200.0	12425280.0	0.0	0.0	31641120.0	0.0	0.0	0.0
CE 18:3	2395960.0	5405960.0	2492280.0	626080.0	0.0	1932420.0	0.0	0.0	5159140.0	0.0	0.0	0.0
CE 20:4	2257500.0	5008640.0	1824059.9999999998	1047480.0	0.0	1637440.0000000002	0.0	0.0	4388580.0	0.0	0.0	0.0
CE 20:5	0.0	0.0	728420.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
DAG (32:0) 16:0_16:0	0.0	0.0	0.0	0.0	0.0	0.0	28815733.333333354	10270120.0	11112920.0	17355660.0	23363620.0	26367600.0
DAG (34:0) 16:0_18:0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	11419940.0	7765800.0	13575100.0	6634040.0	0.0
DAG (34:1) 16:0_18:1	0.0	0.0	0.0	0.0	0.0	0.0	0.0	21816480.0	24176319.999999996	83467300.0	90510700.0	50182720.0
DAG (36:1) 18:0_18:1	0.0	0.0	0.0	0.0	0.0	0.0	0.0	12154380.0	23002420.0	31683260.0	55775300.0	12473440.0
DAG (36:2) 18:1_18:1	7055440.0	0.0	12112240.0	12304880.0	14785120.0	14177100.0	42573440.0	20118840.0	29799000.0	52271660.0	100853060.0	50327200.0
FreeChol	156128700.0	171196760.0	213384920.0	152691280.0	144901400.0	160390860.0	364169866.6666665	234792040.0	244953800.0	202880020.0	310914940.0	273235760.0
LPC 16:0	0.0	3624039.9999999995	2733080.0	1655500.0	0.0	0.0	0.0	0.0	2859500.0	0.0	0.0	0.0
LPC 18:0	0.0	2600640.0	0.0	0.0	0.0	0.0	0.0	0.0	2335760.0	0.0	0.0	0.0
PC 32:0	2347800.0	2540440.0	4153800.0	9355080.0	8169140.0	7284200.0	40807573.33333336	48105820.0	47515860.00000001	72842000.0	121369220.00000001	54769960.0
PC 32:1	0.0	782600.0	1167880.0	1125740.0	1005340.0	1480920.0	7304266.666666647	7217980.0	6339060.0	24302740.0	53234860.00000001	12304880.0
PC 34:0	0.0	0.0	993300.0	2510340.0	1474900.0	0.0	18252640.0	21870660.0	22659280.0	23273319.999999996	39509260.0	19805800.0
PC 34:1	18734240.0	15212540.0	23791040.000000004	46895800.0	45414880.0	46215540.0	112341226.66666646	123476220.00000001	150740800.0	319908820.0	531559980.0	234816120.0
PC 34:2	13575100.0	15519560.0	21389060.0	17367700.0	15989120.0	16862020.0	44724586.66666664	41315260.0	50519840.0	86537500.0	144762940.0	68700240.0
PC 34:3	0.0	0.0	0.0	1505000.0	1125740.0	0.0	3146453.3333333354	4653460.0	5345760.000000001	17175060.0	29829100.0	9451400.0
PC 36:0	3286920.0	3539760.0	3443440.0	2877560.0	2702980.0	3979220.0	12874773.333333353	7296239.999999999	7880180.0	7434700.0	9168460.0	9535680.0
PC 36:1	5237400.0	3443440.0	7296239.999999999	10155740.0	10908240.0	8337700.0	47293120.0	58478280.0	62547800.0	109642260.0	173984020.0	75791800.0
PC 36:2	6730360.0	7928340.0	12774440.0	11486159.999999998	10288180.0	9054080.0	37083200.0	42158060.0	41170780.0	75316220.0	118497680.0	47606160.0
PC 36:3	4189920.0	4521020.0	7085540.0	7073500.0	5737060.0	6447420.000000001	17706826.666666646	15922900.0	21292740.0	34356140.0	58412060.0	26295360.0
PC 36:4	3937080.0	5141079.999999999	6898920.000000001	7103600.0	5911640.0	6345079.999999999	17209173.333333354	15224580.0	25831819.999999996	27866580.0	37703260.0	35349440.0
PC 36:5	0.0	710360.0	1149820.0	1137780.0	1234100.0	0.0	3965173.333333335	4057480.0	4484900.0	8831340.0	9698220.0	7669480.0
PC 38:3	0.0	1191960.0	0.0	716380.0	391300.0	1107680.0	1942453.3333333354	4972520.0	6573840.0	5454120.0	9017960.0	8247400.0
PC 38:4	3003980.0	3256820.0	5255460.0	5327700.0	2829400.0	3539760.0	10563093.333333353	12611900.0	16440620.0	17897460.0	21015819.999999996	20215160.0
PC 38:5	1751820.0	1836100.0	1986600.0	4436740.0	4828040.0	4123700.0	12505546.666666647	12196520.000000002	18053980.0	21461300.0	26915420.0	25091360.0
PC 38:6	1793960.0	2727060.0	3166520.0	2498300.0	1806000.0	2137100.0	5875520.0	5333720.0	9595880.0	8825320.0	12058060.0	9186520.0
PC 38:7	0.0	981259.9999999999	987279.9999999999	1023400.0	0.0	1005340.0	0.0	1601320.0	0.0	1860180.0	2299640.0	2492280.0
PC 40:4	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	553840.0	1216040.0	776580.0	0.0
PC 40:5	0.0	0.0	0.0	1161860.0	0.0	0.0	3949119.9999999995	5833380.0	6200600.0	6796579.999999999	7115640.0	6152440.0
PC 40:6	0.0	0.0	987279.9999999999	0.0	0.0	752500.0	0.0	3539760.0	4779880.0	5490239.999999999	9005920.0	5706960.0
PC 40:7	0.0	337120.00000000006	0.0	1095640.0	0.0	0.0	0.0	1330420.0	2251480.0	2468200.0	3437420.0	2275560.0
PC O-32:0	0.0	0.0	0.0	0.0	180600.0	0.0	3579893.3333333354	3184580.0	2462180.0	4743760.0	8867460.0	3058160.0
PC O-34:1	0.0	878920.0	1179920.0	1547140.0	0.0	890960.0	5024693.333333335	4388580.0	5592579.999999999	15555680.0	30966880.0	10884159.999999998
PC O-36:2	0.0	0.0	1143800.0	0.0	0.0	0.0	0.0	2100980.0	3798619.9999999995	6880860.0	11251380.0	3419360.0
PC O-38:4	0.0	0.0	686279.9999999999	475580.0	0.0	0.0	0.0	0.0	1306340.0	2564520.0	2239440.0	3383240.0
PC O-38:5	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1065540.0	1324400.0	1240120.0	1179920.0
PE 34:1	7639380.0	5712980.0	11191180.0	29504020.0	19251960.0	21985040.000000004	62286933.33333353	64371860.00000001	74437300.0	90251839.99999999	178499020.0	60043480.0
PE 34:2	0.0	0.0	4502960.0	9481500.0	6591900.0	5201280.0	24609760.0	38401580.0	34422360.0	51224180.0	89667900.0	34229720.0
PE 36:1	0.0	0.0	0.0	8277500.0	4400620.0	5032720.0	7015306.6666666465	9523640.0	14845320.0	36619660.0	63167860.00000001	26018440.0
PE 36:2	0.0	0.0	3648119.9999999995	7549079.999999999	6507620.0	5664820.0	10354400.0	8795220.0	21130200.0	37528680.0	65160480.0	14809200.0
PE 36:3	6308960.0	3395280.0	4725700.0	9300900.0	8644720.0	7272160.0	25717440.0	12720260.0	16681420.0	29004360.0	47871040.0	18926880.0
PE 36:4	0.0	0.0	7633360.0	10366440.0	6519660.0	6435380.0	18429226.666666646	24254580.0	38106600.0	25380319.999999996	43548680.0	28342160.0
PE 36:5	0.0	0.0	0.0	0.0	0.0	0.0	0.0	8379840.0	10848040.0	8542380.0	9914940.0	10258080.0
PE 38:3	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	4593260.0	0.0	0.0
PE 38:4	6110300.0	3955140.0	4966500.0	9511600.0	7296239.999999999	9493540.0	17754986.666666646	13972420.0	20136900.0	21094080.0	26746860.0	22599080.0
PE 38:5	0.0	4123700.0	6387220.0	6977180.0	6013980.0	0.0	17433920.0	17831240.0	24579660.0	24916780.0	29955520.0	18517520.0
PE 38:6	0.0	0.0	0.0	0.0	0.0	0.0	0.0	5851440.0	8783180.0	7434700.0	14110880.0	0.0
PE 40:5	0.0	0.0	0.0	0.0	0.0	0.0	0.0	4888239.999999999	4972520.0	11642680.0	10836000.0	0.0
PE 40:6	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	5634720.0	8018640.0	8145060.0	0.0
PG (34:1) 16:0_18:1	0.0	0.0	0.0	2805320.0	1950480.0000000002	0.0	9150400.0	6989220.0	10047380.0	21437220.0	34223700.0	15001840.000000002
PG (34:2) 16:0_18:2	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1498980.0000000002	6640060.0	10167780.0	0.0
PG (36:1) 18:0_18:1	0.0	0.0	0.0	0.0	0.0	0.0	0.0	6357120.0	5767160.0	10354400.0	14767060.0	6802600.0
PG (36:2) 18:0_18:2	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	963200.0	3491600.0	5448100.0	0.0
PG (36:2) 18:1_18:1	0.0	0.0	0.0	0.0	0.0	0.0	4623360.0	3581900.0	4966500.0	11576460.0	20022520.0	7850079.999999999
PG (36:3) 18:1_18:2	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1920380.0	2119040.0	6501600.0	8415960.0	0.0
PS 34:1	0.0	0.0	0.0	0.0	0.0	0.0	0.0	9939020.000000002	6242739.999999999	0.0	12214580.0	0.0
PS 36:1	0.0	0.0	0.0	6609960.0	0.0	0.0	17610506.666666646	22394400.0	20293420.0	26114760.0	45764040.0	18710160.0
PS 36:2	0.0	0.0	0.0	3377220.0	0.0	0.0	0.0	13189820.0	13081460.0	18908820.0	28017080.0	0.0
PS 38:4	12870760.0	13430620.0	19866000.0	10986500.0	15429260.0	11606560.0	30966880.0	22201760.0	20528200.0	20136900.0	26867260.0	23706760.0
PS 38:5	0.0	0.0	0.0	0.0	0.0	0.0	0.0	5899600.0	0.0	0.0	0.0	0.0
PS 40:5	0.0	0.0	0.0	0.0	0.0	0.0	0.0	6170500.0	5598600.0	4972520.0	0.0	0.0
PS 40:6	0.0	0.0	0.0	2715020.0	0.0	0.0	0.0	7272160.0	9036020.0	6646079.999999999	8211280.0	0.0
TAG 48:0	0.0	0.0	0.0	0.0	0.0	1962519.9999999998	0.0	0.0	0.0	4117680.0	3587920.0	0.0
TAG 50:0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1980580.0	234780.0	0.0
TAG 50:1	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	3304980.0	21340900.0	25560920.0	13087479.999999998
TAG 50:2	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	9860760.0	10944360.0	4466840.0
TAG 52:1	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	22207780.0	17060680.0	5393920.000000001
TAG 52:2	0.0	0.0	1607340.0	1161860.0	0.0	0.0	0.0	0.0	2889600.0	24814440.0	36926680.0	13159720.0
TAG 52:3	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	18060000.0	19432560.0	0.0
TAG 54:2	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	10354400.0	9138360.0	6116320.0
TAG 54:3	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	8295560.0	10408580.0	0.0
TAG 54:6	0.0	0.0	6989220.0	7368480.0	0.0	7555100.0	34739413.33333335	0.0	0.0	18583740.0	0.0	0.0
TAG 56:6	0.0	0.0	6784540.0	4611320.0	0.0	5303620.0	37998240.0	0.0	0.0	15953000.0	0.0	0.0
Cer 16:0	168560.00000000003	204680.00000000003	246819.99999999997	240800.0	228760.0	288960.0	706346.6666666646	571900.0	511700.0	583940.0	589960.0	529760.0
Cer 18:0	150500.0	0.0	162540.0	0.0	150500.0	150500.0	353173.33333333355	198660.0	162540.0	156520.0	198660.0	0.0
Cer 19:0	120400.0	0.0	0.0	0.0	0.0	108360.0	0.0	114380.0	0.0	102340.00000000001	0.0	0.0
Cer 22:0	264880.0	210700.0	385280.0	252840.0	216720.0	252840.0	433440.0	337120.00000000006	288960.0	313040.0	349160.0	276920.0
Cer 24:0	523740.0	397320.0	824740.0000000001	451500.0	511700.0	457520.0	1123733.3333333354	794640.0	668220.0000000001	686279.9999999999	788620.0	698320.0
Cer 24:1	1077580.0	698320.0	1336440.0000000002	1005340.0	1161860.0	1005340.0	1862186.6666666646	1258180.0	1288280.0	1282260.0	1432760.0	1179920.0
Cer 24:2	168560.00000000003	0.0	240800.0	168560.00000000003	180600.0	210700.0	433440.0	264880.0	252840.0	264880.0	246819.99999999997	264880.0
DHSM 16:0	493639.99999999994	475580.0	716380.0	650160.0	493639.99999999994	331100.0	1220053.3333333354	632100.0	746480.0	734440.0	1113700.0	830759.9999999999
