metabolite	uRBC	Std.	Parasite	Std..1
Choline_vo	7710000.0	1200000.0	31400000	1950000.0
Choline_phosphate	2750000.0	722000.0	186000000	9830000.0
CDP_choline	126000.0	126.0	12100000	886000.0
CDP_ethanolamine	72300.0	18100.0	19300000	1680000.0
Ethanolamine	12600000.0	2480000.0	5060000	632000.0
Ethanolamine_phosphate	452000.0	108000.0	162000000	15200000.0
Serine_vo	24400000.0	5070000.0	20800000	2140000.0
Myo_inositol_vo	14800000.0	4940000.0	18200000	3360000.0
Myo_inositol_1_phosphate_vo	137000000.0	13600000.0	49500000	11000000.0
Serine_t14	8910000.0	2350000.0	9210000	2410000.0
2,3-Bisphosphoglycerate 			68700000	17500000.0
Choline_t14	1810000.0	602000.0	20000000	6930000.0
myo_Inositol_t14	4340000.0	1080000.0	3250000	903000.0
PC_t14			132000000	30700000.0
PE_t14			23300000	6810000.0
Serine_t09			24400000	13000000.0
myo_Inositol_t09			3170000	1060000.0
PC_t09			22500000	5410000.0
PE_t09			62600000	18300000.0
avg Cho	4760000.0	4171930.00900063	25700000	8061017.30552664
avg Ser	16655000.0	10953084.0405796	15005000	8195367.59395209
avg PC			77250000	77428192.539927
avg PE			97300000	27789296.5006313
