	mean_Ring 	mean_Trophozoite 	mean_Schizont 	reaction	MW
DAG (32:0) 16:0_16:0	0	27,7955555555556	37,1466666666667	p	568,9
DAG (34:0) 16:0_18:0	0	10,6233333333333	11,19	p	596,537975
DAG (34:1) 16:0_18:1	0	25,4666666666667	124,12	p	594,9
DAG (36:1) 18:0_18:1	0	19,4666666666667	55,3333333333333	p	623
DAG (36:2) 18:1_18:1	12,2366666666667	40,6	102,04	p	621
PC (32:0) 14:0_18:0	4,365	35,2677777777778	66,4283333333333	p	734
PC (32:0) 16:0_16:0	4,365	35,2677777777778	66,4283333333333	p	734
PC (32:1) 14:0_18:1	0,306666666666667	3,49037037037037	16,2222222222222	p	732
PC (32:1) 14:1_18:0	0,306666666666667	3,49037037037037	16,2222222222222	p	732
PC (32:1) 16:1_16:0	0,306666666666667	3,49037037037037	16,2222222222222	p	718
PC (34:0) 14:0_20:0	0,828333333333333	17,1066666666667	22,59	p	762,1
PC (34:0) 16:0_18:0	0,828333333333333	17,1066666666667	22,59	p	762,1
PC (34:1) 14:0_20:1	11,1833333333333	45,5177777777778	142,379166666667	p	760,1
PC (34:1) 14:1_20:0	11,1833333333333	45,5177777777778	142,379166666667	p	760,1
PC (34:1) 16:0_18:1	11,1833333333333	45,5177777777778	142,379166666667	p	760,1
PC (34:1) 16:1_18:0	11,1833333333333	45,5177777777778	142,379166666667	p	760,1
PC (34:2) 14:1_20:1		23,8305555555555	69,08	p	758,1
PC (34:2) 16:1_18:1		23,8305555555555	69,08	p	758,1
PC (36:0) 14:0_22:0		3,28185185185185	2,92888888888889	p	790,1
PC (36:0) 16:0_20:0		3,28185185185185	2,92888888888889	p	790,1
PC (36:0) 18:0_18:0		3,28185185185185	2,92888888888889	p	790,1
PC (36:1) 14:0_22:1	1,48666666666667	16,8706666666667	38,0333333333333	p	788,1
PC (36:1) 14:1_22:0	1,48666666666667	16,8706666666667	38,0333333333333	p	788,1
PC (36:1) 16:0_20:1	1,48666666666667	16,8706666666667	38,0333333333333	p	788,1
PC (36:1) 16:1_20:0	1,48666666666667	16,8706666666667	38,0333333333333	p	788,1
PC (36:1) 18:1_18:0	1,48666666666667	16,8706666666667	38,0333333333333	p	788,1
PC (36:2) 14:1_22:1	0,626666666666667	17,1611111111111	39,4955555555555	p	786,1
PC (36:2) 16:1_20:1	0,626666666666667	17,1611111111111	39,4955555555555	p	786,1
PC (36:2) 18:1_18:1	0,626666666666667	17,1611111111111	39,4955555555555	p	786,1
PC (O-32:0) 14:0_18:0	0,05	2,55444444444444	4,615	p	720,1
PC (O-32:0) 16:0_16:0	0,05	2,55444444444444	4,615	p	720,1
PC (O-34:1) 14:0_20:1	0,0525	1,79222222222222	7,66166666666667	p	746,1
PC (O-34:1) 14:1_20:0	0,0525	1,79222222222222	7,66166666666667	p	746,1
PC (O-34:1) 16:0_18:1	0,0525	1,79222222222222	7,66166666666667	p	746,1
PC (O-34:1) 16:1_18:0	0,0525	1,79222222222222	7,66166666666667	p	746,1
PC (O-36:2) 14:1_22:1		0,877777777777778	3,76666666666667	p	772,1
PC (O-36:2) 16:1_20:1		0,877777777777778	3,76666666666667	p	772,1
PC (O-36:2) 18:1_18:1		0,877777777777778	3,76666666666667	p	772,1
PC 34:3	1,45666666666667	7,27888888888889	31,26	T	756
PC 36:3	1,91666666666667	21,6644444444444	57,18	T	784,1
PC 36:4	1,87333333333333	23,4155555555556	47,0333333333333	T	782,1
PC 36:5	0,283333333333333	5,89555555555556	13,4766666666667	T	780,1
PC 38:3	0,566666666666667	6,80888888888889	11,92	T	812,1
PC 38:4	0,0999999999999988	15,5588888888889	26,3633333333333	T	810,1
PC 38:5	4,32666666666667	20,5877777777778	37,5933333333333	T	808,1
PC 38:6	-0,69	7,26333333333333	12,3933333333333	T	806,1
PC 38:7	0,0333333333333334	-0,203333333333333	2,59333333333333	T	804,1
PC 40:4	0	0,306666666666667	1,10333333333333	T	838,1
PC 40:5	0,643333333333333	8,85	11,11	T	836,1
PC 40:6	-0,13	4,06	10,64	T	834,1
PC 40:7	0,42	1,79666666666667	4,34333333333333	T	832,1
PC O-38:4	-0,116666666666667	0,343333333333333	4,15333333333333	T	796,1
PC O-38:5	0	0,59	2,07333333333333	T	794,1
PE (34:1) 14:0_20:1	6,395	24,4397222222222	42,1166666666667	p	718
PE (34:1) 14:1_20:0	6,395	24,4397222222222	42,1166666666667	p	718
PE (34:1) 16:0_18:1	6,395	24,4397222222222	42,1166666666667	p	718
PE (34:1) 16:1_18:0	6,395	24,4397222222222	42,1166666666667	p	718
PE (34:2) 14:1_20:1	4,64333333333333	25,7283333333333	47,2366666666667	p	716
PE (34:2) 16:1_18:1	4,64333333333333	25,7283333333333	47,2366666666667	p	716
PE (36:1) 14:0_22:1	1,96133333333333	3,47555555555555	13,932	p	746
PE (36:1) 14:1_22:0	1,96133333333333	3,47555555555555	13,932	p	746
PE (36:1) 16:0_20:1	1,96133333333333	3,47555555555555	13,932	p	746
PE (36:1) 16:1_20:0	1,96133333333333	3,47555555555555	13,932	p	746
PE (36:1) 18:1_18:0	1,96133333333333	3,47555555555555	13,932	p	746
PE (36:2) 14:1_22:1	2,96666666666667	6,76111111111111	21,0133333333333	p	744
PE (36:2) 16:1_20:1	2,96666666666667	6,76111111111111	21,0133333333333	p	744
PE (36:2) 18:1_18:1	2,96666666666667	6,76111111111111	21,0133333333333	p	744
PE 36:3	5,97333333333333	22,53	45,0566666666667	T	742
PE 36:4	8,68666666666667	40,5077777777778	49,6333333333333	T	740
PE 36:5	0	10,6466666666667	15,9	T	738
PE 38:3	0	0	2,54333333333333	T	770
PE 38:4	6,24	20,3944444444444	30,68	T	768
